code,center,lat,lon
KSC,Kennedy Space Center,28.52,-80.65
KSC,Kennedy Space Center,28.52,-80.65
JSC,Johnson Space Center,29.55,-95.09
MSFC,Marshall Space Flight Center,34.65,-86.67
SSC,Stennis Space Center,30.36,-89.6
