code,center,lat,lon
ARC,Ames Research Center,37.41,-122.06
ARC,Ames Research Center,37.41,-122.06
JPL,Jet Propulsion Laboratory,33.5,-118.18
DFRC,Dryden Flight Research Center,34.25,-117.55
